Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Interest",Time
"ZQK24 (May '24)",94.6725,0.0025,94.6725,94.6725,94.67,94.67,6204,429345,2024-05-13
"ZQM24 (Jun '24)",94.685,0,94.685,94.69,94.68,94.685,1741,117655,2024-05-13
"ZQN24 (Jul '24)",94.69,0,94.69,94.695,94.685,94.69,24837,338637,2024-05-13
"ZQQ24 (Aug '24)",94.745,0,94.75,94.75,94.74,94.745,49212,229960,2024-05-13
"ZQU24 (Sep '24)",94.795,0,94.8,94.805,94.79,94.795,2355,48844,2024-05-13
"ZQV24 (Oct '24)",94.865,0,94.87,94.88,94.86,94.865,26309,149372,2024-05-13
"ZQX24 (Nov '24)",94.93,0,94.94,94.95,94.92,94.93,15874,92443,2024-05-13
"ZQZ24 (Dec '24)",95.01,0,95.015,95.03,95,95.01,2705,45757,2024-05-13
"ZQF25 (Jan '25)",95.09,0,95.09,95.12,95.085,95.09,8237,48150,2024-05-13
"ZQG25 (Feb '25)",95.185,0,95.18,95.215,95.18,95.185,1947,26910,2024-05-13
"ZQH25 (Mar '25)",95.24,0.005,95.235,95.27,95.23,95.235,2623,5477,2024-05-13
"ZQJ25 (Apr '25)",95.315,0.005,95.31,95.35,95.305,95.31,619,5264,2024-05-13
"ZQK25 (May '25)",95.405,0.005,95.4,95.435,95.395,95.4,231,6287,2024-05-13
"ZQM25 (Jun '25)",95.48,0.005,95.475,95.51,95.465,95.475,124,1360,2024-05-13
"ZQN25 (Jul '25)",95.53,0.005,0,95.555,95.53,95.525,3,1317,2024-05-13
"ZQQ25 (Aug '25)",95.615,0.005,0,95.615,95.605,95.61,8,685,2024-05-13
"ZQU25 (Sep '25)",95.645,0.005,0,95.645,95.645,95.64,0,125,2024-05-13
"ZQV25 (Oct '25)",95.71,0.005,0,95.71,95.71,95.705,0,122,2024-05-13
"ZQX25 (Nov '25)",95.745,0.005,0,95.745,95.745,95.74,0,3,2024-05-13
"ZQZ25 (Dec '25)",95.765,0.005,0,95.765,95.765,95.76,0,0,2024-05-13
"ZQF26 (Jan '26)",95.81,0,0,95.81,95.81,95.81,0,0,2024-05-13
"ZQG26 (Feb '26)",96.005,0,0,96.005,96.005,96.005,0,0,2024-05-13
"ZQH26 (Mar '26)",96.005,0,0,96.005,96.005,96.005,0,0,2024-05-13
"ZQJ26 (Apr '26)",96.005,0,0,96.005,96.005,96.005,0,0,2024-05-13
"ZQK26 (May '26)",96.005,0,0,96.005,96.005,96.005,0,0,2024-05-13
"ZQM26 (Jun '26)",96.005,0,0,96.005,96.005,96.005,0,0,2024-05-13
"ZQN26 (Jul '26)",96.005,0,0,96.005,96.005,96.005,0,0,2024-05-13
"ZQQ26 (Aug '26)",95.925,0,0,95.925,95.925,95.925,0,0,2024-05-13
"ZQU26 (Sep '26)",95.925,0,0,95.925,95.925,95.925,0,0,2024-05-13
"ZQV26 (Oct '26)",95.92,0,0,95.92,95.92,95.92,0,0,2024-05-13
"ZQX26 (Nov '26)",95.9,0,0,95.9,95.9,95.9,0,0,2024-05-13
"ZQZ26 (Dec '26)",95.88,0,0,95.88,95.88,95.88,0,0,2024-05-13
"ZQF27 (Jan '27)",95.865,0,0,95.865,95.865,95.865,0,0,2024-05-13
"ZQG27 (Feb '27)",95.85,0,0,95.85,95.85,95.85,0,0,2024-05-13
"ZQH27 (Mar '27)",95.835,0,0,95.835,95.835,95.835,0,0,2024-05-13
"ZQJ27 (Apr '27)",95.795,0,0,95.795,95.795,95.795,0,0,2024-05-13
"ZQK27 (May '27)",95.77,0,0,95.77,95.77,95.77,0,0,2024-05-13
"ZQM27 (Jun '27)",95.75,0,0,95.75,95.75,95.75,0,0,2024-05-13
"ZQN27 (Jul '27)",95.73,0,0,95.73,95.73,95.73,0,0,2024-05-13
"ZQQ27 (Aug '27)",95.65,0,0,95.65,95.65,95.65,0,0,2024-05-13
"ZQU27 (Sep '27)",95.65,0,0,95.65,95.65,95.65,0,0,2024-05-13
"ZQV27 (Oct '27)",95.645,0,0,95.645,95.645,95.645,0,0,2024-05-13
"ZQX27 (Nov '27)",95.625,0,0,95.625,95.625,95.625,0,0,2024-05-13
"ZQZ27 (Dec '27)",95.605,0,0,95.605,95.605,95.605,0,0,2024-05-13
"ZQF28 (Jan '28)",95.59,0,0,95.59,95.59,95.59,0,0,2024-05-13
"ZQG28 (Feb '28)",95.575,0,0,95.575,95.575,95.575,0,0,2024-05-13
"ZQH28 (Mar '28)",95.56,0,0,95.56,95.56,95.56,0,0,2024-05-13
"ZQJ28 (Apr '28)",95.52,0,0,95.52,95.52,95.52,0,0,2024-05-13
"ZQK28 (May '28)",95.495,0,0,95.495,95.495,95.495,0,0,2024-05-13
"ZQM28 (Jun '28)",95.475,0,0,95.475,95.475,95.475,0,0,2024-05-13
"ZQN28 (Jul '28)",95.455,0,0,95.455,95.455,95.455,0,0,2024-05-13
"ZQQ28 (Aug '28)",95.375,0,0,95.375,95.375,95.375,0,0,2024-05-13
"ZQU28 (Sep '28)",95.375,0,0,95.375,95.375,95.375,0,0,2024-05-13
"ZQV28 (Oct '28)",95.37,0,0,95.37,95.37,95.37,0,0,2024-05-13
"ZQX28 (Nov '28)",95.35,0,0,95.35,95.35,95.35,0,0,2024-05-13
"ZQZ28 (Dec '28)",95.33,0,0,95.33,95.33,95.33,0,0,2024-05-13
"ZQF29 (Jan '29)",95.315,0,0,95.315,95.315,95.315,0,0,2024-05-13
"ZQG29 (Feb '29)",95.3,0,0,95.3,95.3,95.3,0,0,2024-05-13
"ZQH29 (Mar '29)",95.285,0,0,95.285,95.285,95.285,0,0,2024-05-13
"ZQJ29 (Apr '29)",95.245,0,0,95.245,95.245,95.245,0,0,2024-05-13
"Downloaded from Barchart.com as of 05-14-2024 03:45pm CDT"
